norad_id,epoch,bstar,mean_motion,mean_motion_dot,eccentricity,perigee_km,apogee_km,semi_major_axis_km,source_group,prev_epoch,prev_perigee,prev_sma,prev_bstar,hours_elapsed,perigee_rate_km_per_day,sma_rate_km_per_day,alt_band,mean_ap,activity_tau6h,activity_tau12h,activity_tau18h,activity_tau24h
100224,2026-08-27 02:39:19.433000+00:00,0.0011142,15.752012,0.00169474,0.0001286,343.1942,344.92316,6722.196,spacetrack,2026-08-26 14:27:29.647000+00:00,342.7148,6722.228,0.0013518,12.197162777777777,0.9433013406168698,-0.06296546287001266,300-350,3.479829689901017,3.864174365615021,3.6413715972231024,3.693536293225115,3.8123365190185696
100224,2026-08-28 13:43:21.680000+00:00,0.0015384,15.752628,0.0023654,0.0001341,342.98184,344.7847,6722.0205,spacetrack,2026-08-27 02:39:19.433000+00:00,343.1942,6722.196,0.0011142,35.06729083333333,-0.1453388579181739,-0.12011193051740056,300-350,4.55188186724845,11.444225578749558,8.074403173633716,6.707245630551278,6.004104910206675
100224,2026-08-29 14:07:01.252000+00:00,0.0010913,15.752004,0.00165911,0.000127,343.20746,344.9149,6722.198,spacetrack,2026-08-28 13:43:21.680000+00:00,342.98184,6722.0205,0.0015384,24.394325555555554,0.22197293332292983,0.17463077592839693,300-350,22.716511394521486,15.673676806346911,17.403248838233957,16.520320801479002,15.244257634931218
100225,2026-08-23 22:07:32.381000+00:00,-0.0012736,15.752811,-0.00186728,0.0001047,343.12756,344.53516,6721.9683,spacetrack,2026-08-22 14:08:52.988000+00:00,327.576,6707.2515,-0.00075788,31.977609166666667,11.671836942364694,11.045328565969879,300-350,5.035201549403583,5.649307729942534,5.458617862283268,5.303336098639627,5.199835213062724
100225,2026-08-24 20:59:43.571000+00:00,0.001298,15.752452,0.00198531,0.0002393,342.32492,345.5421,6722.0703,spacetrack,2026-08-23 22:07:32.381000+00:00,343.12756,6721.9683,-0.0012736,22.869775,-0.8423064940516433,0.10704084320885018,300-350,4.950779516244086,4.1854555414987615,4.530381728300899,4.719554747049518,4.801891439197268
100225,2026-08-25 13:46:02.082000+00:00,0.0011277,15.751526,0.0017121,0.0001112,343.44943,344.9445,6722.334,spacetrack,2026-08-24 20:59:43.571000+00:00,342.32492,6722.0703,0.001298,16.771808611111112,1.6091430939726026,0.3773474970251959,300-350,6.683345884432294,4.738100118724543,5.240482433561334,5.378910919786869,5.411164889475551
100225,2026-08-26 21:47:05.783000+00:00,0.00091931,15.752368,0.00139535,0.0000718,343.47476,344.44003,6722.094,spacetrack,2026-08-25 13:46:02.082000+00:00,343.44943,6722.334,0.0011277,32.017694722222224,0.018987000946635562,-0.17990052219459046,300-350,3.0385023035135754,3.12734011526429,3.2554690790533733,3.456293572865388,3.653128226726651
100225,2026-08-27 09:58:56.192000+00:00,0.0018237,15.752661,0.00281999,0.0000717,343.3922,344.35614,6722.011,spacetrack,2026-08-26 21:47:05.783000+00:00,343.47476,6722.094,0.00091931,12.197335833333334,-0.16244858935383802,-0.16331435218396484,300-350,3.491910699351491,3.1928233644085764,3.3029568383042287,3.420472607842462,3.5572677726242308
100225,2026-08-28 21:02:58.825000+00:00,0.0022285,15.753957,0.00349332,0.0001243,342.66998,344.34097,6721.6426,spacetrack,2026-08-27 09:58:56.192000+00:00,343.3922,6722.011,0.0018237,35.06739805555556,-0.494284747688995,-0.2521316233956026,300-350,9.02954728455323,25.386896827098855,18.820059742577378,15.119903800321074,12.858389250560867
100225,2026-08-29 13:49:16.067000+00:00,0.0014678,15.752525,0.00225286,0.0000819,343.36224,344.46332,6722.05,spacetrack,2026-08-28 21:02:58.825000+00:00,342.66998,6721.6426,0.0022285,16.77145611111111,0.9906259712889492,0.5829905248074188,300-350,22.16865425883481,15.673676806346913,17.403248838233953,16.520320801479002,15.24425763493122
100226,2026-08-23 21:22:49.001000+00:00,0.00058561,15.752264,0.00088263,0.0000677,343.53198,344.44214,6722.124,spacetrack,2026-08-22 14:53:14.412000+00:00,343.4097,6722.2964,0.00048686,30.49294138888889,0.0962426012817873,-0.13569041921015815,300-350,5.012471019135403,5.649307729942535,5.458617862283268,5.303336098639627,5.199835213062722
100226,2026-08-24 12:37:36.727000+00:00,0.0016462,15.752702,0.00253733,0.000034,343.6339,344.09103,6721.9995,spacetrack,2026-08-23 21:22:49.001000+00:00,343.53198,6722.124,0.00058561,15.246590555555557,0.16043455689894304,-0.1959782411097009,300-350,5.565354064768506,4.732017462459109,5.080694392232769,5.166175125845559,5.171870095863071
100226,2026-08-25 14:32:46.586000+00:00,0.0012971,15.752729,0.0019861,0.0001074,343.13257,344.57645,6721.9917,spacetrack,2026-08-24 12:37:36.727000+00:00,343.6339,6721.9995,0.0016462,25.919405277777777,-0.4642050954122612,-0.007222387936812584,300-350,5.71196564555949,4.738100118724543,5.2404824335613345,5.378910919786869,5.411164889475552
100226,2026-08-26 22:33:51.464000+00:00,0.0013856,15.753469,0.00213223,0.0001555,342.59888,344.68936,6721.7812,spacetrack,2026-08-25 14:32:46.586000+00:00,343.13257,6721.9917,0.0012971,32.01802166666666,-0.400042205397538,-0.15778613846217202,300-350,3.014170960212182,3.12734011526429,3.2554690790533725,3.4562935728653885,3.6531282267266496
100226,2026-08-27 18:23:05.040000+00:00,0.0014315,15.752581,0.00219607,0.000116,343.11722,344.67673,6722.034,spacetrack,2026-08-26 22:33:51.464000+00:00,342.59888,6721.7812,0.0013856,19.820437777777776,0.6276430490322882,0.30610827409602115,300-350,3.434665811283236,2.794304648891686,3.056069619608645,3.2114290595451234,3.356448512433214
100226,2026-08-28 14:12:19.371000+00:00,0.0010403,15.752308,0.0015823,0.0001019,343.28943,344.6594,6722.1113,spacetrack,2026-08-27 18:23:05.040000+00:00,343.11722,6722.034,0.0014315,19.820647500000003,0.20852194662158052,0.09359936399646623,300-350,6.041624607201488,11.444225578749558,8.074403173633717,6.707245630551278,6.004104910206676
100226,2026-08-29 14:35:59.610000+00:00,0.002406,15.753717,0.00378055,0.0001542,342.53717,344.61014,6721.7104,spacetrack,2026-08-28 14:12:19.371000+00:00,343.28943,6722.1113,0.0010403,24.394510833333335,-0.7400943648080727,-0.3944165991163915,300-350,22.4591774112571,15.673676806346911,17.403248838233957,16.520320801479006,15.244257634931222
100227,2026-08-23 22:04:29.650000+00:00,-0.00533,15.754976,-0.00739633,0.0001236,342.3847,344.04623,6721.3525,spacetrack,2026-08-22 15:37:48.417000+00:00,328.15964,6706.878,-0.0015357,30.44478694444444,11.213789757273979,11.410426377229012,300-350,5.056003630908058,5.649307729942533,5.458617862283266,5.303336098639627,5.199835213062722
100227,2026-08-24 20:56:41.929000+00:00,0.0013929,15.752438,0.00213411,0.0001965,342.61664,345.25842,6722.0747,spacetrack,2026-08-23 22:04:29.650000+00:00,342.3847,6721.3525,-0.00533,22.870077499999997,0.24339926263914974,0.75788112217826,300-350,4.9529996005576375,4.185455541498762,4.5303817283009,4.719554747049519,4.8018914391972665
100227,2026-08-25 13:42:57.012000+00:00,0.00079258,15.751776,0.00119695,0.0001356,343.2144,345.03745,6722.2627,spacetrack,2026-08-24 20:56:41.929000+00:00,342.61664,6722.0747,0.0013929,16.770856388888888,0.8554267991648057,0.26903813945910104,300-350,6.68650679950204,4.738100118724543,5.2404824335613345,5.378910919786869,5.411164889475551
100227,2026-08-26 23:15:31.670000+00:00,0.0017414,15.752864,0.00269079,0.0000869,343.23227,344.40054,6721.9536,spacetrack,2026-08-25 13:42:57.012000+00:00,343.2144,6722.2627,0.00079258,33.54296055555555,0.012785991245169236,-0.2211611580236884,300-350,3.0382841380744092,3.12734011526429,3.2554690790533725,3.456293572865389,3.653128226726652
100227,2026-08-27 14:30:19.336000+00:00,0.0013254,15.752157,0.00202558,0.0000371,343.76794,344.26672,6722.1543,spacetrack,2026-08-26 23:15:31.670000+00:00,343.23227,6721.9536,0.0017414,15.246573888888888,0.8432110776945487,0.31592671475642703,300-350,3.557854582484888,3.510422622763844,3.4571442453982644,3.5094898875311964,3.6094784818858336
100227,2026-08-28 20:59:55.569000+00:00,0.002393,15.754161,0.00376669,0.0001185,342.65094,344.24396,6721.5845,spacetrack,2026-08-27 14:30:19.336000+00:00,343.76794,6722.1543,0.0013254,30.493398055555552,-0.8791411160920564,-0.44846428643637726,300-350,9.80340493192183,21.09683613349849,15.076617722155323,12.058202746356212,10.307077125271196
100227,2026-08-29 21:23:35.194000+00:00,0.0016762,15.752692,0.00258495,0.0000855,343.2904,344.43985,6722.002,spacetrack,2026-08-28 20:59:55.569000+00:00,342.65094,6721.5845,0.002393,24.39434027777778,0.6291229779220617,0.4107510137972106,300-350,19.66813397347119,12.804625735039762,14.766526558624347,14.943587220629142,14.40437293540913
100228,2026-08-23 22:13:38.552000+00:00,0.00097032,15.752349,0.0014741,0.0001331,343.06815,344.85754,6722.0996,spacetrack,2026-08-22 12:41:03.285000+00:00,343.392,6721.739,0.0017094,33.543129722222226,-0.2317136195806631,0.25800812481328855,300-350,5.036590967083863,5.649307729942535,5.458617862283267,5.303336098639627,5.1998352130627215
100228,2026-08-24 13:28:26.734000+00:00,0.0012657,15.752551,0.00193548,0.0000649,343.46915,344.34164,6722.0425,spacetrack,2026-08-23 22:13:38.552000+00:00,343.06815,6722.0996,0.00097032,15.246717222222223,0.6312178457650666,-0.08988164337451084,300-350,5.509790030939629,4.732017462459109,5.08069439223277,5.166175125845559,5.17187009586307
100228,2026-08-25 01:40:16.911000+00:00,0.0014711,15.752912,0.00226199,0.0001342,342.90082,344.705,6721.94,spacetrack,2026-08-24 13:28:26.734000+00:00,343.46915,6722.0425,0.0012657,12.19727138888889,-1.1182763394463262,-0.20168445233087667,300-350,6.721696544288582,7.086868837770245,6.44155278150565,6.120272867195667,5.93234265278133
100228,2026-08-26 12:44:18.744000+00:00,0.0012514,15.75262,0.00191361,0.0001058,343.17468,344.59705,6722.023,spacetrack,2026-08-25 01:40:16.911000+00:00,342.90082,6721.94,0.0014711,35.06717583333333,0.18742997814362494,0.056805258840360154,300-350,3.6101378613537713,3.570698806891062,3.5408554735578663,3.7529233132515536,3.9532381365609335
100228,2026-08-27 14:39:28.675000+00:00,0.0015934,15.752479,0.00245096,0.0001099,343.18735,344.66486,6722.063,spacetrack,2026-08-26 12:44:18.744000+00:00,343.17468,6722.023,0.0012514,25.919425277777776,0.011731741608471591,0.03703785827466593,300-350,3.4212834644578187,3.510422622763844,3.4571442453982644,3.509489887531197,3.609478481885834
100228,2026-08-28 13:31:41.475000+00:00,0.0011222,15.75196,0.00170681,0.0001603,342.99597,345.15112,6722.2104,spacetrack,2026-08-27 14:39:28.675000+00:00,343.18735,6722.063,0.0015934,22.870222222222225,-0.20083407827741018,0.15468148781513158,300-350,5.071584471802247,11.444225578749556,8.074403173633717,6.70724563055128,6.004104910206675
100228,2026-08-29 13:55:20.084000+00:00,0.0012582,15.752777,0.00192569,0.000174,342.67145,345.01068,6721.978,spacetrack,2026-08-28 13:31:41.475000+00:00,342.99597,6722.2104,0.0011222,24.394058055555554,-0.319277751256577,-0.22864584429922835,300-350,22.820314837826682,15.673676806346911,17.403248838233957,16.520320801479006,15.244257634931218
100229,2026-08-23 22:31:25.949000+00:00,0.0011429,15.752425,0.00174264,0.000125,343.101,344.78152,6722.078,spacetrack,2026-08-22 14:30:21.518000+00:00,343.04532,6722.196,0.00045371,32.0178975,0.041736656818265064,-0.08845052989465038,300-350,5.047594465633548,5.649307729942535,5.458617862283267,5.303336098639626,5.199835213062722
100229,2026-08-24 21:23:37.766000+00:00,0.0016869,15.752642,0.0026013,0.0001128,343.1213,344.6378,6722.0166,spacetrack,2026-08-23 22:31:25.949000+00:00,343.101,6722.078,0.0011429,22.869949166666665,0.021303064403421883,-0.06443389923051865,300-350,5.10556928435091,8.440673360055527,6.852007827288323,6.327236691582963,6.062987035543862
100229,2026-08-25 03:29:32.690000+00:00,0.0014883,15.752419,0.00228407,0.0001156,343.1656,344.71973,6722.0796,spacetrack,2026-08-24 21:23:37.766000+00:00,343.1213,6722.0166,0.0016869,6.09859,0.17433537916127206,0.24792615998164247,300-350,9.354149893663944,6.659218306562818,6.343734588298504,6.101563244062559,5.940613287970146
100229,2026-08-26 22:10:59.259000+00:00,0.0011815,15.7522955,0.00180176,0.000173,342.81525,345.1411,6722.115,spacetrack,2026-08-25 03:29:32.690000+00:00,343.1656,6722.0796,0.0014883,42.69071361111111,-0.19696086780360939,0.019901283631224485,300-350,3.4573069101438527,3.1273401152642903,3.255469079053373,3.4562935728653885,3.6531282267266505
100229,2026-08-27 02:45:25.615000+00:00,0.0011977,15.75245,0.0018282,0.0000684,343.4742,344.3938,6722.071,spacetrack,2026-08-26 22:10:59.259000+00:00,342.81525,6722.115,0.0011815,4.573987777777778,3.457551871221561,-0.23087075245966285,300-350,4.205563028031217,3.8641743656150207,3.6413715972231024,3.6935362932251157,3.812336519018567
100229,2026-08-28 13:49:27.481000+00:00,0.001236,15.752389,0.00188751,0.0001095,343.2154,344.68753,6722.0884,spacetrack,2026-08-27 02:45:25.615000+00:00,343.4742,6722.071,0.0011977,35.067184999999995,-0.17712285716689807,0.011908569222006251,300-350,4.601140060778253,11.44422557874956,8.074403173633714,6.70724563055128,6.004104910206675
100229,2026-08-29 17:16:04.200000+00:00,0.0010086,15.7519865,0.00153098,0.0001217,343.24786,344.88406,6722.203,spacetrack,2026-08-28 13:49:27.481000+00:00,343.2154,6722.0884,0.001236,27.443533055555555,0.02838701556477053,0.10022033221638055,300-350,21.144358225094503,13.047789596062401,15.544456430681741,15.365776565898736,14.5102218413244
100230,2026-08-23 21:58:21.427000+00:00,-0.0051096,15.786253,-0.00808255,0.0001511,333.32034,335.34885,6712.4717,spacetrack,2026-08-22 15:34:32.136000+00:00,327.25436,6706.182,0.00042806,30.39702527777778,4.789400234714097,4.966038571884953,300-350,5.050933008420936,5.649307729942533,5.458617862283266,5.303336098639626,5.199835213062722
100230,2026-08-24 22:21:03.669000+00:00,0.000054399,15.752327,0.00008007,0.0001887,342.70065,345.23758,6722.106,spacetrack,2026-08-23 21:58:21.427000+00:00,333.32034,6712.4717,-0.0051096,24.378400555555555,9.234709204443533,9.484756781851301,300-350,5.514290222895627,8.440673360055527,6.852007827288323,6.3272366915829625,6.062987035543863
100230,2026-08-25 13:35:51.301000+00:00,0.0012775,15.7528305,0.0019565,0.0002485,342.1555,345.4963,6721.963,spacetrack,2026-08-24 22:21:03.669000+00:00,342.70065,6722.106,0.000054399,15.246564444444443,-0.8581343061037525,-0.22509989135626246,300-350,5.976759372676161,4.738100118724543,5.240482433561334,5.37891091978687,5.4111648894755495
100230,2026-08-26 21:36:56.265000+00:00,0.0010375,15.752239,0.00157738,0.0000698,343.52493,344.46335,6722.1313,spacetrack,2026-08-25 13:35:51.301000+00:00,342.1555,6721.963,0.0012775,32.01804555555556,1.0264936360019772,0.12615385886055983,300-350,3.0438008118407955,3.12734011526429,3.2554690790533725,3.4562935728653885,3.653128226726651
100230,2026-08-27 22:00:36.926000+00:00,0.00088145,15.752144,0.00133559,0.0001264,343.17157,344.8709,6722.158,spacetrack,2026-08-26 21:36:56.265000+00:00,343.52493,6722.1313,0.0010375,24.394628055555554,-0.34764375093921007,0.026268078305968612,300-350,3.3287819935675502,3.662178143599949,3.4860681395171373,3.4860995269113175,3.550050795063484
