"norad_id","epoch","bstar","mean_motion","mean_motion_dot","eccentricity","perigee_km","apogee_km","semi_major_axis_km","source_group"
22913,"2026-08-29 15:15:23.954+00",0.0014061,13.277968,0.00248342,0.1243551,218.2901,2091.8792,7533.2217,"spacetrack"
23198,"2026-08-22 14:14:11.504+00",0.00028042,14.337308,8.146e-05,0.0621051,334.7747,1223.7998,7157.4243,"spacetrack"
23198,"2026-08-23 22:02:56.795+00",0.00027523,14.337523,7.998e-05,0.062103,334.72247,1223.7086,7157.3525,"spacetrack"
23198,"2026-08-24 21:29:22.798+00",0.00029531,14.337691,8.597e-05,0.0620992,334.69745,1223.6222,7157.297,"spacetrack"
23198,"2026-08-25 19:15:20.355+00",0.00030443,14.3378525,8.871e-05,0.0620955,334.67343,1223.5386,7157.243,"spacetrack"
23198,"2026-08-26 20:22:11.884+00",0.0002965,14.338033,8.64e-05,0.0620934,334.63217,1223.4598,7157.183,"spacetrack"
23198,"2026-08-27 21:29:02.38+00",0.00031403,14.338213,9.167e-05,0.0620918,334.58746,1223.3848,7157.123,"spacetrack"
23198,"2026-08-28 20:55:24.618+00",0.00032014,14.338368,9.351e-05,0.0620869,334.57397,1223.2947,7157.0713,"spacetrack"
23198,"2026-08-29 22:02:13.01+00",0.00037279,14.338577,0.00010919,0.0620783,334.57028,1223.1593,7157.002,"spacetrack"
24285,"2026-08-23 19:20:57.534+00",0.00021266,11.836732,2.789e-05,0.1732283,345.94363,3163.6526,8132.935,"spacetrack"
24285,"2026-08-24 19:41:20.502+00",0.00023527,11.836789,3.083e-05,0.1732239,345.95764,3163.586,8132.9087,"spacetrack"
24285,"2026-08-25 07:51:31.893+00",0.00023728,11.836819,3.108e-05,0.1732207,345.9725,3163.5442,8132.8955,"spacetrack"
24285,"2026-08-26 18:20:23.881+00",0.00021887,11.836897,2.865e-05,0.1732139,345.9981,3163.4468,8132.8594,"spacetrack"
24285,"2026-08-27 18:40:46.311+00",0.00022771,11.83695,2.979e-05,0.1732066,346.03745,3163.359,8132.835,"spacetrack"
24285,"2026-08-28 14:57:44.993+00",0.00020786,11.836977,2.717e-05,0.1732008,346.07446,3163.2974,8132.8228,"spacetrack"
